Dataset,,,,,Model,Model Desc,Time Taken,Accuracy,Balanced Accuracy,Precision,Recall,F1,CM
fashion,0,0,0,0,EasyNeuralNet,"EasyNeuralNet Layers:(64, 64),Dropout:0)",83.31298161,0.8897,0.8897,0.8897,0.8897,0.8897,"[[819   0  23  21   3   1 128   1   4   0]
 [  3 982   2  10   0   1   1   0   1   0]
 [ 14   1 819  16  77   2  68   0   3   0]
 [ 18  10   8 917  24   0  22   0   1   0]
 [  1   0  79  26 830   0  63   0   1   0]
 [  0   1   0   1   0 930   2  38   6  22]
 [122   1  59  31  54   0 724   0   9   0]
 [  0   0   0   0   0  13   0 945   1  41]
 [  4   1   4   7   1   2  13   3 965   0]
 [  0   1   0   0   0   7   0  26   0 966]]"
fashion,0,0,0,0,EasyNeuralNet,"EasyNeuralNet Layers:(128, 128),Dropout:0)",90.9435041,0.8955,0.8955,0.8955,0.8955,0.8955,"[[845   1  21  21   1   1 104   1   5   0]
 [  2 989   1   7   0   0   0   0   1   0]
 [ 15   0 829  14  68   0  70   0   4   0]
 [ 23   9  10 918  27   0  11   0   2   0]
 [  2   1  73  33 835   1  52   0   3   0]
 [  2   1   1   2   0 937   0  37   7  13]
 [123   2  68  24  56   0 720   1   5   1]
 [  0   0   0   1   0   6   0 961   0  32]
 [  5   0   4   3   2   1  13   3 967   2]
 [  0   1   1   0   0   4   0  39   1 954]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 2, Conv Layers Per Block:1, Pool Blocks:1, Dense Layers:2)",176.5316033,0.9125,0.9125,0.9125,0.9125,0.9125,"[[870   2  17  18   1   0  86   0   6   0]
 [  1 984   2  10   0   1   2   0   0   0]
 [ 13   0 864  10  51   0  61   0   1   0]
 [ 16   7   5 936  20   0  16   0   0   0]
 [  2   0  49  20 884   0  44   0   1   0]
 [  0   1   0   0   0 954   0  30   2  13]
 [128   0  55  33  48   0 730   0   6   0]
 [  0   0   0   0   0  11   0 953   0  36]
 [  2   1   1   3   3   1   9   1 979   0]
 [  0   0   0   0   0   4   0  25   0 971]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 4, Conv Layers Per Block:1, Pool Blocks:1, Dense Layers:2)",207.5029845,0.9214,0.9214,0.9214,0.9214,0.9214,"[[874   0  14  20   3   0  87   0   2   0]
 [  3 983   2   8   2   0   1   0   1   0]
 [ 16   0 862  10  58   0  53   0   1   0]
 [ 13   5   5 946  17   0  14   0   0   0]
 [  2   0  29  20 898   0  50   0   1   0]
 [  0   1   0   1   0 959   1  28   1   9]
 [ 95   1  43  30  43   0 785   0   3   0]
 [  0   0   0   0   0   4   0 964   0  32]
 [  0   1   4   3   2   1  12   1 975   1]
 [  0   0   0   0   0   7   0  25   0 968]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 8, Conv Layers Per Block:1, Pool Blocks:1, Dense Layers:2)",208.1960702,0.9266,0.9266,0.9266,0.9266,0.9266,"[[885   0  18  18   2   0  75   0   2   0]
 [  2 988   1   6   1   0   1   0   1   0]
 [ 17   0 875  11  58   0  39   0   0   0]
 [ 10   7   6 939  22   0  15   0   1   0]
 [  3   0  32  15 916   0  34   0   0   0]
 [  0   0   0   0   0 972   1  20   1   6]
 [ 93   0  43  27  61   0 774   0   2   0]
 [  0   0   0   0   0   5   0 968   0  27]
 [  1   1   2   3   3   1   9   2 978   0]
 [  0   0   0   0   0   3   0  26   0 971]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 2, Conv Layers Per Block:2, Pool Blocks:1, Dense Layers:2)",232.8874171,0.9147,0.9147,0.9147,0.9147,0.9147,"[[880   1  13  21   2   0  78   0   5   0]
 [  3 988   0   8   0   0   0   0   1   0]
 [ 18   0 870  10  51   0  50   0   1   0]
 [ 16   8   7 925  25   0  18   0   1   0]
 [  0   1  47  20 891   0  40   0   1   0]
 [  0   0   0   0   0 948   0  39   2  11]
 [124   1  56  20  56   0 737   0   6   0]
 [  0   0   0   0   0   9   0 955   0  36]
 [  1   2   2   3   4   1   7   1 979   0]
 [  0   0   0   0   0   2   0  24   0 974]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 4, Conv Layers Per Block:2, Pool Blocks:1, Dense Layers:2)",184.6157246,0.9222,0.9222,0.9222,0.9222,0.9222,"[[868   0  22  20   1   0  87   0   2   0]
 [  2 988   2   7   0   0   1   0   0   0]
 [ 11   1 894  12  41   0  40   0   1   0]
 [ 12   5   6 938  19   0  20   0   0   0]
 [  1   0  52  19 884   0  44   0   0   0]
 [  0   1   0   0   0 971   0  16   2  10]
 [103   1  60  24  41   0 769   1   1   0]
 [  0   0   0   0   0   6   0 963   0  31]
 [  2   2   0   2   2   1  15   2 974   0]
 [  0   0   0   0   0   2   0  25   0 973]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 8, Conv Layers Per Block:2, Pool Blocks:1, Dense Layers:2)",276.9135525,0.9245,0.9245,0.9245,0.9245,0.9245,"[[887   0  25  13   2   0  68   2   3   0]
 [  0 986   1  10   0   0   2   0   1   0]
 [ 14   0 909  10  37   0  29   0   1   0]
 [ 12   5   7 934  19   0  23   0   0   0]
 [  0   0  39  22 904   0  33   0   1   1]
 [  0   1   0   0   0 963   0  22   3  11]
 [110   1  60  22  53   0 754   0   0   0]
 [  0   0   0   0   0   8   0 961   0  31]
 [  4   2   4   4   1   2   4   3 976   0]
 [  0   0   0   0   1   4   0  24   0 971]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 2, Conv Layers Per Block:3, Pool Blocks:1, Dense Layers:2)",336.6144032,0.9146,0.9146,0.9146,0.9146,0.9146,"[[866   0  19  17   0   0  92   1   5   0]
 [  1 994   2   1   0   0   1   0   1   0]
 [ 15   2 877   9  51   1  42   0   3   0]
 [ 10   6   8 933  21   0  20   0   2   0]
 [  1   0  52  16 882   0  48   0   1   0]
 [  0   1   0   0   0 961   0  27   2   9]
 [115   1  52  30  63   0 736   0   3   0]
 [  0   0   0   0   0  13   0 954   0  33]
 [  5   2   3   3   1   3   5   2 975   1]
 [  0   0   0   0   1   3   0  27   1 968]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 4, Conv Layers Per Block:3, Pool Blocks:1, Dense Layers:2)",156.0061297,0.9184,0.9184,0.9184,0.9184,0.9184,"[[887   0  19  13   2   0  75   0   4   0]
 [  0 983   1  11   2   1   2   0   0   0]
 [ 18   0 874  12  42   0  53   0   1   0]
 [  7   5   7 936  21   0  23   0   1   0]
 [  4   0  37  27 889   0  43   0   0   0]
 [  0   1   0   0   0 954   0  29   2  14]
 [122   1  49  26  51   0 747   0   4   0]
 [  0   0   0   0   0   5   0 968   0  27]
 [  7   2   6   0   3   2   4   0 976   0]
 [  0   0   0   0   1   2   0  27   0 970]]"
fashion,0,0,0,0,EasyConvNet,"EasyConvNet(Dimensions:2, Channels Per Layer: 8, Conv Layers Per Block:3, Pool Blocks:1, Dense Layers:2)",489.2685046,0.9278,0.9278,0.9278,0.9278,0.9278,"[[893   0  20  11   1   1  69   1   3   1]
 [  1 986   1   6   1   0   4   0   1   0]
 [ 15   0 893  12  39   0  40   0   1   0]
 [ 12   3   5 934  20   0  26   0   0   0]
 [  1   1  28  20 910   0  40   0   0   0]
 [  0   1   0   0   0 970   0  22   1   6]
 [107   0  43  27  43   0 776   0   4   0]
 [  0   0   0   0   0   4   0 968   0  28]
 [  1   0   2   2   3   2   6   1 983   0]
 [  0   0   0   0   1   1   0  33   0 965]]"
fine,,,,,DummyClassifier,DummyClassifier(),0.002982855,0.01,0.01,0.01,0.01,0.01,"[[100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]
 ...
 [100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]
 [100   0   0 ...   0   0   0]]"
fine,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.002990246,0.0095,0.0095,0.0095,0.0095,0.0095,"[[1 1 1 ... 2 0 1]
 [0 1 2 ... 1 0 1]
 [2 0 1 ... 1 2 4]
 ...
 [1 0 3 ... 1 1 1]
 [0 1 0 ... 1 1 3]
 [0 0 0 ... 2 2 0]]"
fine,0,0,0,0,LogisticRegression,LogisticRegression(random_state=42),70.36148334,0.1538,0.1538,0.1538,0.1538,0.1538,"[[26  3  0 ...  0  0  0]
 [ 2 20  0 ...  0  1  0]
 [ 3  1  7 ...  3  2  1]
 ...
 [ 0  1  2 ... 10  1  1]
 [ 1  1  1 ...  0  7  0]
 [ 0  0  0 ...  0  0  1]]"
fine,0,0,0,0,DecisionTreeClassifier,DecisionTreeClassifier(random_state=42),970.8242939,0.082,0.082,0.082,0.082,0.082,"[[18  4  0 ...  1  1  0]
 [ 0 17  1 ...  2  0  0]
 [ 1  1  5 ...  5  1  2]
 ...
 [ 0  0  1 ...  5  2  1]
 [ 2  1  1 ...  1  3  0]
 [ 0  1  3 ...  1  0  8]]"
fine,0,0,0,0,KNeighborsClassifier,KNeighborsClassifier(),20.79769778,0.1502,0.1502,0.1502,0.1502,0.1502,"[[62  1  0 ...  0  0  0]
 [ 6 22  0 ...  0  0  1]
 [ 0  1 19 ...  0  0  4]
 ...
 [ 1  0  3 ... 10  0  2]
 [ 2  0  8 ...  1  1  1]
 [ 0  2  0 ...  0  0 14]]"
fine,0,0,0,0,LinearSVC,LinearSVC(random_state=42),23134.86515,0.0878,0.0878,0.0878,0.0878,0.0878,"[[26  7  1 ...  0  1  0]
 [ 1 11  4 ...  3  1  0]
 [ 1  2  8 ...  2  0  1]
 ...
 [ 0  1  0 ...  9  1  5]
 [ 3  2  2 ...  1  6  1]
 [ 1  0  2 ...  8  1  1]]"
fine,0,0,0,0,LinearDiscriminantAnalysis,LinearDiscriminantAnalysis(),130.1141534,0.1334,0.1334,0.1334,0.1334,0.1334,"[[38  4  0 ...  0  0  0]
 [ 1 11  2 ...  3  0  0]
 [ 0  1  7 ...  7  5  4]
 ...
 [ 0  0  1 ... 15  0  2]
 [ 0  2  1 ...  2  9  1]
 [ 1  1  1 ...  5  1  3]]"
fine,0,0,0,0,QuadraticDiscriminantAnalysis,QuadraticDiscriminantAnalysis(),91.53389311,0.0138,0.0138,0.0138,0.0138,0.0138,"[[2 0 1 ... 0 0 1]
 [1 0 0 ... 0 1 1]
 [3 0 0 ... 0 0 2]
 ...
 [0 0 0 ... 3 1 3]
 [1 0 3 ... 0 0 2]
 [1 0 0 ... 1 1 1]]"
mnist,,,,,DummyClassifier,DummyClassifier(),0.002998352,0.1135,0.1,0.1135,0.1135,0.1135,"[[   0  980    0    0    0    0    0    0    0    0]
 [   0 1135    0    0    0    0    0    0    0    0]
 [   0 1032    0    0    0    0    0    0    0    0]
 [   0 1010    0    0    0    0    0    0    0    0]
 [   0  982    0    0    0    0    0    0    0    0]
 [   0  892    0    0    0    0    0    0    0    0]
 [   0  958    0    0    0    0    0    0    0    0]
 [   0 1028    0    0    0    0    0    0    0    0]
 [   0  974    0    0    0    0    0    0    0    0]
 [   0 1009    0    0    0    0    0    0    0    0]]"
mnist,,,,,DummyClassifier,DummyClassifier(strategy='uniform'),0.002990007,0.1039,0.104,0.1039,0.1039,0.1039,"[[122 105  89  84  95  85  96 108  97  99]
 [137 114 111  94 120 107 115 102 128 107]
 [100  87 107 108 101 107 105  90  98 129]
 [ 90 124 117  87  97  96  91  93 105 110]
 [ 98  94 108  90 112  93 104  90 105  88]
 [ 87  92  98  87  85  92  98 102  82  69]
 [ 93  93  80 111  83  94  95 102  97 110]
 [105 104  90 106  91 113 101  96 109 113]
 [105  93  95  99  88 103  91 106  99  95]
 [110  98  90 102  80  95 102 108 109 115]]"
mnist,0,0,0,0,LogisticRegression,LogisticRegression(random_state=42),7.979251623,0.9232,0.9221,0.9232,0.9232,0.9232,"[[ 954    0    2    2    2   10    6    2    2    0]
 [   0 1110    7    2    0    2    3    1   10    0]
 [   9   12  924   17   10    4   12    8   33    3]
 [   4    1   18  922    3   25    2   11   18    6]
 [   1    3    8    3  913    1    8    8    6   31]
 [   9    5    3   28    9  781   15    8   30    4]
 [   9    4    9    4    7   19  902    1    3    0]
 [   2    8   22    7    6    2    0  947    3   31]
 [   9   12    4   23    8   27    9   11  856   15]
 [   6    7    2   10   22    8    0   24    7  923]]"
mnist,0,0,0,0,DecisionTreeClassifier,DecisionTreeClassifier(random_state=42),20.91111445,0.6456,0.6439,0.6456,0.6456,0.6456,"[[925   1   8   3   2  11  13   4   9   4]
 [  0 982  28  47   6  27   6  11  28   0]
 [ 25  15 815  55  20  19  11  21  46   5]
 [  9   8  31 839   4  61   6  17  20  15]
 [ 26  36  54  57 275 140  51  43 210  90]
 [ 20  10  14  36   3 743  28   3  26   9]
 [ 90   5 126  12  59  79 372   7 185  23]
 [ 89  12 105 143  10  70  11 460  19 109]
 [ 12  12  41  51  33  51  16   9 704  45]
 [ 39  24  47 126  99 114  24  22 173 341]]"
mnist,0,0,0,0,RandomForestClassifier,"RandomForestClassifier(n_jobs=-1, random_state=42)",8.805366278,0.9586,0.9585,0.9586,0.9586,0.9586,"[[ 970    0    0    0    0    3    4    1    2    0]
 [   0 1118    3    3    0    4    3    0    4    0]
 [   7    0  988    7    2    2    3    7   16    0]
 [   2    0    7  963    0   20    0    4   13    1]
 [   2    0    1    1  942    4    9    0   10   13]
 [   6    0    1   14    0  861    4    1    5    0]
 [  13    3    0    0    6    9  920    0    7    0]
 [   6    3   23    8    4    6    0  957    8   13]
 [   5    0    5   10    4    7    1    2  936    4]
 [  13    5    2   15   15   14    0    1   13  931]]"
mnist,0,0,0,0,ExtraTreesClassifier,"ExtraTreesClassifier(n_jobs=-1, random_state=42)",6.41937685,0.972,0.9719,0.972,0.972,0.972,"[[ 968    0    1    0    0    3    4    1    3    0]
 [   0 1125    2    3    0    1    3    0    1    0]
 [   6    0  996    6    2    1    4   12    5    0]
 [   1    0    6  978    0    8    0    7    6    4]
 [   1    0    2    0  957    0    5    0    2   15]
 [   5    0    1    5    0  868    7    1    3    2]
 [   8    3    0    0    4    3  938    0    2    0]
 [   2    3   21    2    1    0    0  985    3   11]
 [   5    0    4    6    4    4    2    6  938    5]
 [   5    5    2    8    8    5    1    3    5  967]]"
mnist,0,0,0,0,KNeighborsClassifier,KNeighborsClassifier(),5.922425747,0.9423,0.9415,0.9423,0.9423,0.9423,"[[ 961    1    2    2    1    6    6    1    0    0]
 [   0 1128    3    0    0    0    3    0    1    0]
 [  15   13  951   23    4    0    7    8   10    1]
 [   0    3    4  961    3   13    0   11   11    4]
 [   1   10    6    3  922    2    5    4    3   26]
 [   6    1    2   26    8  818   16    2    6    7]
 [  11    4    1    0    2    7  931    0    2    0]
 [   0   21   11    4    7    2    0  953    1   29]
 [  13    2    8   18   11   28    3    6  878    7]
 [   6    5    4   11   19    6    0   33    5  920]]"
mnist,0,0,0,0,GaussianNB,GaussianNB(),1.401483059,0.1077,0.1046,0.1077,0.1077,0.1077,"[[   0    1  979    0    0    0    0    0    0    0]
 [   0    0 1135    0    0    0    0    0    0    0]
 [   0    0 1030    1    0    0    1    0    0    0]
 [   0    2  996    6    5    0    0    0    0    1]
 [   0    1  972    0    8    0    0    1    0    0]
 [   0    0  824    1   60    6    0    0    0    1]
 [   0    0  945    0    3    7    3    0    0    0]
 [   0   15  355   66  513    8    0   13    0   58]
 [   0    1  947    3   17    6    0    0    0    0]
 [   0   15  688   23  270    2    0    0    0   11]]"
mnist,0,0,0,0,LinearSVC,LinearSVC(random_state=42),470.1085737,0.9125,0.9115,0.9125,0.9125,0.9125,"[[ 956    0    3    1    3    6    6    3    1    1]
 [   0 1113    4    3    0    1    4    2    8    0]
 [  13   17  892   30    9    5   14   14   35    3]
 [   6    3   15  917    2   21    6   10   22    8]
 [   1    4    8    7  914    0    7    4    8   29]
 [  11    1    2   31    9  781   17    8   26    6]
 [  10    4    7    2    9   20  904    0    2    0]
 [   2   12   22    8   10    3    1  937    5   28]
 [  14   14    9   24   13   37   12   10  828   13]
 [   7   11    4   16   39   11    0   28   10  883]]"
mnist,0,0,0,0,MLPClassifier,MLPClassifier(random_state=42),46.53086162,0.9758,0.9756,0.9758,0.9758,0.9758,"[[ 969    0    0    0    0    1    4    1    5    0]
 [   0 1125    3    1    0    0    2    1    3    0]
 [   6    5  997    4    1    0    3    5   10    1]
 [   0    0    6  991    0    6    1    2    1    3]
 [   6    1    5    0  950    0    3    3    2   12]
 [   2    0    0   10    1  870    4    0    3    2]
 [   5    1    5    0    4    3  937    0    3    0]
 [   2    4   13    0    2    0    0  998    1    8]
 [   2    0    3    7    5    3    3    3  943    5]
 [   3    4    0    3    8    4    0    5    4  978]]"
mnist,0,0,0,0,LinearDiscriminantAnalysis,LinearDiscriminantAnalysis(),14.59617805,0.873,0.8717,0.873,0.873,0.873,"[[ 939    0    1    4    2   13   10    1    9    1]
 [   0 1095    3    3    2    2    4    0   26    0]
 [  15   30  825   34   21    5   32    9   55    6]
 [   5    6   25  880    4   27    3   16   29   15]
 [   0   12    7    0  889    3    7    2   10   52]
 [   9    7    5   46   13  732   15   10   36   19]
 [  12    8   11    0   27   29  855    0   16    0]
 [   2   29   13   10   23    1    0  867    3   80]
 [   7   26    7   27   20   54   10    6  791   26]
 [   9    7    1   13   62    6    0   42   12  857]]"
mnist,0,0,0,0,QuadraticDiscriminantAnalysis,QuadraticDiscriminantAnalysis(),9.742655993,0.1111,0.1079,0.1111,0.1111,0.1111,"[[   3    0  972    3    2    0    0    0    0    0]
 [   0    0 1135    0    0    0    0    0    0    0]
 [   0    0 1029    2    0    0    1    0    0    0]
 [   1   22  966   19    1    0    0    0    0    1]
 [  10   13  944    8    5    0    0    2    0    0]
 [  35   21  759    8   63    5    0    0    0    1]
 [   3    0  937    0    8    2    8    0    0    0]
 [   0   58  274  572    1   24    0   27    0   72]
 [  15    9  919    5   18    7    0    0    0    1]
 [   0   37  643  295    2   17    0    0    0   15]]"
mnist,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=100, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",17.75730491,0.9616,0.9614,0.9616,0.9616,0.9616,"[[ 969    0    0    0    0    3    0    1    6    1]
 [   1 1115    4    3    0    2    2    1    7    0]
 [   5    0  992   11    4    0    0    9    9    2]
 [   2    0    5  970    0   14    0    8   11    0]
 [   0    0    2    1  940    1    5    1    5   27]
 [   4    0    1   12    0  858    3    3    8    3]
 [  16    2    2    0   10   15  902    0   11    0]
 [   1    5   22    6    1    1    0  966    8   18]
 [   4    1    3    2    3    4    2    1  944   10]
 [   7    5    1    9   10    5    0    5    7  960]]"
mnist,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=10, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",2.962773323,0.8962,0.894,0.8962,0.8962,0.8962,"[[ 958    0    1    1    1    2    3    1   12    1]
 [   1 1074   15   10    1    1    6    3   24    0]
 [  16    4  910   21   16    1    4   15   39    6]
 [   7    1   25  909    2    5    4   15   29   13]
 [   2    4    3    4  867    3    8    5   18   68]
 [  18    7    5   74   14  657   21   14   47   35]
 [   9    1    1    0   17   12  880    0   38    0]
 [   0    5   30    4    6    1    0  932   12   38]
 [   8    8   14   13    9    8    8    8  873   25]
 [   9    4    3   24   31    8    0   16   12  902]]"
mnist,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=10, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",3.739172459,0.8829,0.8808,0.8829,0.8829,0.8829,"[[ 960    1    0    0    1    2    4    1   11    0]
 [   1 1089    4   10    1    2    7    0   21    0]
 [  27   11  861   35   18    3    8   11   57    1]
 [  10    1   18  903    5   10    4   12   33   14]
 [   3    4    3    7  897    3    5    2   18   40]
 [  21    5    5  101   18  644   23   11   41   23]
 [  16    5    5    1   16   15  869    0   31    0]
 [   6    7    9   36   13    3    0  873   17   64]
 [   8    7    9   23   12   10    6    5  871   23]
 [  11    5    8   31   45   13    0   19   15  862]]"
mnist,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=25, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",5.277438641,0.9246,0.9238,0.9246,0.9246,0.9246,"[[ 964    0    0    1    0    4    2    1    7    1]
 [   1 1100    8    2    0    6    6    2   10    0]
 [  13    0  943   16   13    1    8   12   22    4]
 [   7    1   18  917    0   22    2   12   23    8]
 [   1    1    2    1  897    9    7    1   13   50]
 [  14    1    2   29    7  790   10    6   19   14]
 [  12    1    1    0   13   24  888    0   19    0]
 [   1    7   33    3    5    4    0  934   12   29]
 [   6    5    7   10    5   13    6    4  897   21]
 [  11    7    2   15   25   16    1    8    8  916]]"
mnist,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=25, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",7.67763114,0.8866,0.8844,0.8866,0.8866,0.8866,"[[ 961    1    0    0    1    4    3    1    9    0]
 [   1 1098    5   10    1    2    8    0   10    0]
 [  25   10  881   28   13    2   11    7   54    1]
 [  10    0   24  908    4    7    4   11   26   16]
 [   2    2    2    6  906    3    5    3   16   37]
 [  19    6    2   98   18  656   20   11   37   25]
 [  21    0    6    1   22   15  859    0   34    0]
 [   6   11   15   31   10    5    0  861   19   70]
 [   9    7    8   21   17   11    6    6  869   20]
 [   8    5   13   35   38    9    0   15   19  867]]"
mnist,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=50, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",9.59829855,0.9461,0.9458,0.9461,0.9461,0.9461,"[[ 968    0    0    0    0    2    3    1    6    0]
 [   1 1107    6    3    0    2    5    2    9    0]
 [  10    0  969   11    8    1    4   11   14    4]
 [   2    0   15  942    0   20    2    7   15    7]
 [   1    0    3    1  912    4    7    1   10   43]
 [   8    0    2   17    0  837    6    4   14    4]
 [  13    2    1    0   10   10  910    0   12    0]
 [   1    3   27    6    4    3    0  951    9   24]
 [   6    2    6    6    2    8    5    3  921   15]
 [  11    8    2   11   16    8    0    4    5  944]]"
mnist,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=50, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",14.70161963,0.89,0.8881,0.89,0.89,0.89,"[[ 958    2    1    0    1    2    3    2   11    0]
 [   1 1099    5   10    1    0    7    0   11    1]
 [  30   10  870   28   16    1   12    6   58    1]
 [  11    0   18  909    3   10    4   12   28   15]
 [   3    2    3    7  905    4    5    2   14   37]
 [  18    6    2   79   16  675   24    9   37   26]
 [  19    4    5    1   19   14  864    0   32    0]
 [   4   10   13   28    9    3    2  876   20   63]
 [   5    8    8   17   17    9    7    6  875   22]
 [  10    5   11   23   41   10    9   13   18  869]]"
mnist,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=100, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",18.14349651,0.9616,0.9614,0.9616,0.9616,0.9616,"[[ 969    0    0    0    0    3    0    1    6    1]
 [   1 1115    4    3    0    2    2    1    7    0]
 [   5    0  992   11    4    0    0    9    9    2]
 [   2    0    5  970    0   14    0    8   11    0]
 [   0    0    2    1  940    1    5    1    5   27]
 [   4    0    1   12    0  858    3    3    8    3]
 [  16    2    2    0   10   15  902    0   11    0]
 [   1    5   22    6    1    1    0  966    8   18]
 [   4    1    3    2    3    4    2    1  944   10]
 [   7    5    1    9   10    5    0    5    7  960]]"
